0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,"[000]",(!A&!B&!C)
0,0,0,0,0,0,1,0,"[001]",(!A&!B&C)
0,0,0,0,0,0,1,1,"[00-]",(!A&!B)
0,0,0,0,0,1,0,0,"[010]",(!A&B&!C)
0,0,0,0,0,1,0,1,"[0-0]",(!A&!C)
0,0,0,0,0,1,1,0,"[001, 010]",(!A&!B&C)v(!A&B&!C)
0,0,0,0,0,1,1,1,"[00-, 0-0]",(!A&!B)v(!A&!C)
0,0,0,0,1,0,0,0,"[011]",(!A&B&C)
0,0,0,0,1,0,0,1,"[000, 011]",(!A&!B&!C)v(!A&B&C)
0,0,0,0,1,0,1,0,"[0-1]",(!A&C)
0,0,0,0,1,0,1,1,"[00-, 0-1]",(!A&!B)v(!A&C)
0,0,0,0,1,1,0,0,"[01-]",(!A&B)
0,0,0,0,1,1,0,1,"[0-0, 01-]",(!A&!C)v(!A&B)
0,0,0,0,1,1,1,0,"[0-1, 01-]",(!A&C)v(!A&B)
0,0,0,0,1,1,1,1,"[0--]",(!A)
0,0,0,1,0,0,0,0,"[100]",(A&!B&!C)
0,0,0,1,0,0,0,1,"[-00]",(!B&!C)
0,0,0,1,0,0,1,0,"[001, 100]",(!A&!B&C)v(A&!B&!C)
0,0,0,1,0,0,1,1,"[00-, -00]",(!A&!B)v(!B&!C)
0,0,0,1,0,1,0,0,"[010, 100]",(!A&B&!C)v(A&!B&!C)
0,0,0,1,0,1,0,1,"[0-0, -00]",(!A&!C)v(!B&!C)
0,0,0,1,0,1,1,0,"[001, 010, 100]",(!A&!B&C)v(!A&B&!C)v(A&!B&!C)
0,0,0,1,0,1,1,1,"[00-, 0-0, -00]",(!A&!B)v(!A&!C)v(!B&!C)
0,0,0,1,1,0,0,0,"[011, 100]",(!A&B&C)v(A&!B&!C)
0,0,0,1,1,0,0,1,"[-00, 011]",(!B&!C)v(!A&B&C)
0,0,0,1,1,0,1,0,"[0-1, 100]",(!A&C)v(A&!B&!C)
0,0,0,1,1,0,1,1,"[0-1, -00]",(!A&C)v(!B&!C)
0,0,0,1,1,1,0,0,"[01-, 100]",(!A&B)v(A&!B&!C)
0,0,0,1,1,1,0,1,"[01-, -00]",(!A&B)v(!B&!C)
0,0,0,1,1,1,1,0,"[0-1, 01-, 100]",(!A&C)v(!A&B)v(A&!B&!C)
0,0,0,1,1,1,1,1,"[0--, -00]",(!A)v(!B&!C)
0,0,1,0,0,0,0,0,"[101]",(A&!B&C)
0,0,1,0,0,0,0,1,"[000, 101]",(!A&!B&!C)v(A&!B&C)
0,0,1,0,0,0,1,0,"[-01]",(!B&C)
0,0,1,0,0,0,1,1,"[00-, -01]",(!A&!B)v(!B&C)
0,0,1,0,0,1,0,0,"[010, 101]",(!A&B&!C)v(A&!B&C)
0,0,1,0,0,1,0,1,"[0-0, 101]",(!A&!C)v(A&!B&C)
0,0,1,0,0,1,1,0,"[-01, 010]",(!B&C)v(!A&B&!C)
0,0,1,0,0,1,1,1,"[0-0, -01]",(!A&!C)v(!B&C)
0,0,1,0,1,0,0,0,"[011, 101]",(!A&B&C)v(A&!B&C)
0,0,1,0,1,0,0,1,"[000, 011, 101]",(!A&!B&!C)v(!A&B&C)v(A&!B&C)
0,0,1,0,1,0,1,0,"[0-1, -01]",(!A&C)v(!B&C)
0,0,1,0,1,0,1,1,"[00-, 0-1, -01]",(!A&!B)v(!A&C)v(!B&C)
0,0,1,0,1,1,0,0,"[01-, 101]",(!A&B)v(A&!B&C)
0,0,1,0,1,1,0,1,"[0-0, 01-, 101]",(!A&!C)v(!A&B)v(A&!B&C)
0,0,1,0,1,1,1,0,"[01-, -01]",(!A&B)v(!B&C)
0,0,1,0,1,1,1,1,"[0--, -01]",(!A)v(!B&C)
0,0,1,1,0,0,0,0,"[10-]",(A&!B)
0,0,1,1,0,0,0,1,"[-00, 10-]",(!B&!C)v(A&!B)
0,0,1,1,0,0,1,0,"[-01, 10-]",(!B&C)v(A&!B)
0,0,1,1,0,0,1,1,"[-0-]",(!B)
0,0,1,1,0,1,0,0,"[010, 10-]",(!A&B&!C)v(A&!B)
0,0,1,1,0,1,0,1,"[0-0, 10-]",(!A&!C)v(A&!B)
0,0,1,1,0,1,1,0,"[-01, 010, 10-]",(!B&C)v(!A&B&!C)v(A&!B)
